"Alter";"Bildung";"Kinder";"Bruttoeinkommen"
"730";47;18;2;77363
"731";60;12;0;37366
"732";60;12;0;37366
"733";56;13.5;0;34750
"734";45;11.5;1;73800
"735";43;11.5;2;67544
"736";38;18;2;72740
"737";57;12;1;44019
"738";65;11.5;1;44019
"739";50;10.5;1;104181
"740";61;11.5;0;26280
"741";36;11.5;0;90763
"742";31;11.5;0;87254
"743";48;11.5;0;70820
"744";41;11.5;2;45195
"745";34;13;0;76885
"746";57;18;0;28818
"747";55;11;0;24000
"748";28;11.5;1;88659
"749";84;10.5;0;28818
"750";41;18;1;55057
"751";55;18;0;146232
"752";54;18;0;146232
"753";56;12;0;57909
"754";62;14;0;57909
"755";48;8.5;1;34991
"756";63;18;0;63650
"757";58;14;0;63650
"758";27;12;1;35520
"759";47;10.5;1;70671
"760";45;10.5;1;73826
"761";52;11.5;0;44057
"762";60;18;0;92920
"763";74;10.5;0;27340
"764";72;9;0;27340
"765";52;10.5;0;87000
"766";68;11;0;20248
"767";66;11;0;20248
"768";50;11.5;0;46812
"769";44;11.5;2;47911
"770";44;15;3;114417
"771";52;10.5;0;59650
"772";40;12;0;53000
"773";31;16;0;55823
"774";59;11.5;0;28251
"775";57;11.5;0;28251
"776";35;12;2;39247
"777";49;15;1;147473
"778";47;11.5;2;121894
"779";59;18;0;164102
"780";55;10.5;0;72778
"781";47;14.5;1;74593
"782";50;11.5;2;83228
"783";48;18;2;79083
"784";53;15;0;44910
"785";62;11.5;0;37675
"786";64;10.5;0;53195
"787";62;11.5;0;56650
"788";53;11.5;0;56650
"789";50;10;0;50155
"790";53;10.5;0;69606
"791";46;13.5;0;47005
"792";64;10.5;0;58647
"793";61;12;0;58647
"794";40;10.5;0;43822
"795";70;18;0;84022
"796";48;18;1;75278
"797";52;12;1;102720
"798";46;13.5;0;86645
"799";50;11.5;0;111966
"800";50;13;0;111966
"801";50;18;0;64771
"802";53;10.5;0;64771
"803";40;16;0;123414
"804";41;13;2;176366
"805";69;18;0;174683
"806";63;17;0;174683
"807";33;18;0;82289
"808";31;18;0;36618
"809";46;10;1;51298
"810";70;15;0;20417
"811";64;18;0;51852
"812";60;10.5;0;51852
"813";62;11;0;66682
"814";51;9;0;116906
"815";48;7;0;47543
"816";42;16;0;50328
"817";49;18;1;56400
"818";40;11.5;0;20571
"819";48;11.5;0;35945
"820";57;9;0;27401
"821";57;10.5;0;27401
"822";27;10.5;0;27401
"823";53;11.5;0;21116
"824";62;11.5;0;37238
"825";44;18;0;46800
"826";53;9;0;27600
"827";50;10.5;0;53598
"828";40;11.5;1;28794
"829";45;11.5;0;84621
"830";49;12;1;40250
"831";49;10.5;0;75856
"832";51;12;0;43555
"833";41;16;1;107740
"834";45;15;0;103428
"835";57;10.5;1;64003
"836";47;10;0;54600
"837";89;9;0;27957
"838";57;10.5;0;27957
"839";59;10.5;0;28804
"840";56;10.5;0;28804
"841";38;9;3;47700
"842";34;11.5;0;70134
"843";53;11.5;0;102824
"844";29;18;0;64478
"845";50;11.5;0;42727
"846";61;10.5;0;103913
"847";53;11.5;0;103913
"848";26;14.5;0;103913
"849";41;14;0;97684
"850";59;12;0;34195
"851";62;11.5;0;37052
"852";40;12;0;93695
"853";57;11.5;0;55406
"854";62;10.5;0;24300
"855";56;10.5;0;24300
"856";29;11.5;0;24300
"857";35;10.5;2;29300
"858";56;9;0;35076
"859";52;9;0;35076
"860";89;18;0;35192
"861";84;9;0;35192
"862";51;11;1;27234
"863";51;10.5;0;37314
"864";56;18;0;25000
"865";56;18;0;25000
"866";52;10.5;0;21828
"867";45;11.5;1;40553
"868";34;15;0;86347
"869";51;18;0;106726
"870";51;11.5;0;106726
"871";46;11;2;50700
"872";60;11.5;0;66989
"873";57;12;0;66989
"874";53;10.5;0;80426
"875";44;10.5;0;80426
"876";54;10.5;0;61700
"877";52;11.5;0;61700
"878";57;10.5;0;50300
"879";35;11.5;0;76803
"880";55;10.5;0;50300
"881";54;11;0;140278
"882";50;10.5;0;140278
"883";23;10;0;140278
"884";33;18;0;45123
"885";31;16;0;44612
"886";52;18;0;94526
"887";42;11.5;2;66934
"888";58;16;0;76003
"889";48;10.5;0;69603
"890";44;9;1;93685
"891";46;18;0;61998
"892";49;11.5;0;90731
"893";47;13;0;98896
"894";35;12;2;58472
"895";56;10.5;0;35629
"896";29;10.5;0;35629
"897";47;16;1;76574
"898";51;11;0;53618
"899";45;14.5;0;52874
"900";50;12;0;57525
"901";54;11;0;81480
"902";56;10.5;0;81480
"903";53;11;0;70117
"904";53;12;0;70117
"905";39;9;1;60000
"906";52;13;0;22112
"907";23;13;0;22112
"908";47;14;0;155470
"909";60;10;0;53104
"910";34;18;0;69067
"911";49;18;3;86106
"912";67;12;0;44583
"913";71;10.5;0;44583
"914";58;11.5;0;22624
"915";54;12;0;96808
"916";32;18;0;96808
"917";26;17;0;96808
"918";54;11;0;48685
"919";52;11;0;48685
"920";34;11.5;1;66788
"921";31;18;0;49666
"922";48;11;0;84381
"923";90;10.5;0;65317
"924";50;14.5;0;65317
"925";65;11.5;0;87693
"926";66;10.5;0;87693
"927";61;15;0;47960
"928";58;10.5;0;158000
"929";56;10.5;0;158000
"930";31;13;0;158000
"931";28;11.5;0;158000
"932";57;12;0;36122
"933";55;11.5;0;36122
"934";23;13;0;36122
"935";21;13;0;36122
"936";41;18;2;100722
"937";44;16;0;31629
"938";61;18;0;105036
"939";64;14;0;105036
"940";52;12;0;137804
"941";27;13;0;137804
"942";64;15;0;51684
"943";61;15;0;51684
"944";26;18;0;51684
"945";39;16;2;56142
"946";46;10;0;25620
"947";65;10.5;0;46157
"948";39;17;1;52925
"949";46;12;2;108107
"950";42;11.5;1;76581
"951";34;12;0;70371
"952";58;11.5;0;37530
"953";35;18;1;69626
"954";50;11;0;39760
"955";46;11;0;39760
"956";23;14.5;0;25720
"957";60;11.5;0;59877
"958";56;10.5;0;59877
"959";35;11.5;0;65472
"960";32;18;0;113765
"961";56;10.5;0;30884
"962";20;9;0;30884
"963";54;11.5;0;149294
"964";57;11;0;149294
"965";27;14.5;0;149294
"966";26;14.5;0;149294
"967";43;14.5;3;169615
"968";39;14.5;0;64825
"969";50;16;2;64265
"970";45;10;1;90475
"971";42;10.5;0;52938
"972";42;11;0;63701
"973";61;10.5;0;52300
"974";60;10.5;0;52300
"975";41;10.5;2;70984
"976";48;14;0;66825
"977";66;11.5;0;28120
"978";37;11;0;29055
"979";58;12;0;28120
"980";54;14;1;54347
"981";44;14.5;1;81717
"982";37;11;2;53592
"983";46;12;1;120575
"984";47;12;1;120575
"985";64;18;0;61494
"986";59;10.5;0;61494
"987";32;18;0;97137
"988";57;15;0;31204
"989";47;13.5;0;87144
"990";38;11;0;28100
"991";64;11;0;67238
"992";57;11.5;0;67238
"993";29;11.5;0;67238
"994";26;13;0;67238
"995";36;11.5;2;57900
"996";49;10.5;0;107867
"997";42;15;2;91694
"998";75;10.5;0;31700
"999";71;10.5;0;31700
"1000";50;11.5;3;80353
